name,addr,city,state,zip,phn,lng,lat
Catholic Charities,329 West Tenth Street,Erie,PA,16502,814-456-2091,-80.08952,42.123
Catholic Charities,"939 East Park Drive, Suite 102",Harrisburg,PA,17111,717-232-0568,-76.81117,40.268536
Catholic Charities,"2601 West 4th Street, P.O. Box 2610",Wilmington,DE,19805,302.655.9624 x4,-75.57957,39.75196
Catholic Charities,191 Joralemon Street,Brooklyn,NY,11201,718-722-6009,-73.9915,40.69263
Catholic Charities,143 Schleigel Boulevard,Amityville,NY,11701,631-789-5225,-73.4056,40.70541
Catholic Charities,10 Hammond Street,Worcester,MA,1610,508-860-2226,-71.81365,42.25361
Catholic Charities - Diocese of Arlington,80 N Glebe Road,Arlington,VA,22203,703-524-2741,-77.1046339,38.8715452
Catholic Charities - Diocese of Arlington ,1101 Stafford Avenue,Fredericksburg,VA,22401,703-524-2741 or 540-371-1124,-77.47744,38.296944
Catholic Charities - Refugee & Immigration Services,275 West Broadway,South Boston,MA,2127,617-464-8100,-71.051254,42.33908
Catholic Charities / Migration and Refugee Services,"7800 Detroit Avenue, St. Augustine Tower",Cleveland,OH,44102,216-939-3731,-81.73890706,41.48182299
"Catholic Charities Bureau, Inc.","134 E. Church Street, #2",Jacksonville,FL,32202,904-354-4846,-81.6570433,30.3290019
Catholic Charities Community Services,1825 W. Northern Avenue,Phoenix,AZ,85021,602-997-6105 x51028,-112.0979,33.553055
Catholic Charities Community Services,"80 Maiden Ln., 13th Floor",New York,NY,10038,212-419-3726,-74.00712,40.70696
Catholic Charities Diocese of Charlotte,1123 South Church Street,Charlotte,NC,28203,704-370-3277,-80.85421,35.22128
"Catholic Charities Diocese of Venice, FL","5900 Pan American Blvd., Suite 202",North Port,FL,34293,941-564-8738,-82.24336,27.046457
"Catholic Charities Diocese of Venice, FL","3174 Tamiami Trail East,",Naples,FL,34112,239-793-7380,-81.76726,26.127455
Catholic Charities Immigration & Refugee Services,"6116 Mulford Village Dr., Suite 8",Rockford,IL,61107,815-399-1709,-88.999275,42.26904
Catholic Charities Immigration Services,2022 W Sunset Ave.,Springdale,AR,72762,479.927.1996 x304,-94.15263,36.174805
Catholic Charities Maine,80 Sherman Street,Portland,ME,4101,207-523-2729,-70.26966,43.6556
Catholic Charities Migration & Refugee Services,125 Market Street,Hartford,CT,6103,860-548-0059 x18,-72.671074,41.767853
"Catholic Charities of Central Flordia, Inc.",1819 N. Semoran Boulevard,Orlando,FL,32807,407-658-1818 x2061,-81.3124734,28.5692491
Catholic Charities of Central New Mexico,3301 Candelaria Rd. NE,Albuquerque,NM,87107,505-724-4690,-106.6104588,35.1169338
Catholic Charities of Diocese of Washington,924 G. St NW,Washington,DC ,20001,202-772-4348,-77.0245,38.898315
"Catholic Charities of Fort Wayne-South Bend, Inc.",915 S. Clinton St.,Fort Wayne,IN,46802,260-422-5625 x230,-85.137695,41.078304
Catholic Charities of Northeast Kansas,2220 Central Avenue,Kansas City,KS,66102,913-906-8945,-94.65493,39.108086
"Catholic Charities of NW Florida, Inc.",1 North C Street,Pensacola,FL,32502,850-436-6420,-87.22837,30.411394
"Catholic Charities of Palm Beach, Inc.",100 W 20th Street,Riviera Beach,FL,33404,561-345-2000,-80.056725,26.778942
Catholic Charities of Pittsburgh,212 Ninth Street,Pittsburgh,PA,15222,412-456-6920,-80.0004138,40.4431233
Catholic Charities of the Archdiocese of Galveston-Houston,2900 Louisiana,Houston,TX,77006,,-95.378204,29.745024
"Catholic Charities of the Archdiocese of Miami, Inc.",7707 NW 2nd Avenue,Miami,FL,33150,305-883-4555,-80.2028152,25.8457269
Catholic Charities of the Texas Panhandle,200 South Tyler Street,Amarillo,TX,79105,,-101.8374,35.211792
"Catholic Charities/Diocese of Fort Worth, Inc.",249 W. Thornhill Drive,Fort Worth,TX,76115,,-97.323746,32.68339
Catholic Charities/Immigration Services,2021 E. Busch Blvd,Tampa,FL,33612,813-631-4370,-82.4381116,28.0321253
"Catholic Community Services, Diocese of Salt Lake City",745 East 300 South,Salt Lake City,UT,84102,801-428-1254,-111.8716233,40.7633206
Catholic Family Center,87 N Clinton Avenue,Rochester,NY,14604,585-546-7220 x4624,-77.60713,43.158924
Catholic Social Service of SW Ohio,100 E. 8th Street,Cincinnati,OH,45202,513-241-7745 x2530,-84.51213,39.104694
Catholic Social Services,3710 E. 20TH AVE.,ANCHORAGE,AK,99508,907.222.7376,-149.81105,61.20249
Catholic Social Services,2241 O Street,Lincoln,NE,68510,402-474-1600,-96.6908587,40.812838
Catholic Social Services,"1400 N. Meridian Street, P.O. Box 1410",Indianapolis,IN,46202,317-236-1553,-86.15913,39.74884
Catholic Social Services of the  Miami Valley,922 W. Riverview Avenue,Dayton,OH,45407,937-223-7217 x1136,-84.208496,39.76101
Catholic Social Services of the Diocese of Scranton,516 Fig Street,Scranton,PA,18505,570-207-2283,-75.672646,41.391098
Catholic Social Services Refugee Program,"188 South Florida Street, P.O. Box 161229",Mobile,AL,36606,251.432.2727,-88.10087,30.68206
CC of South East Michigan - Office Of Migration,15945 Canal Road,Clinton Township,MI,48038,586-416-1113,-82.96328,42.60791
Church World Serivce/Greensboro,"620 S. Elm St., Suite 315",Greensboro,NC,27406,336-617-0381,-79.7939935,36.0651305
Church World Service/Durham,"112 South Duke Street, Suite 2B",Durham,NC,27701,919-680-4310,-78.90831,35.99922
Church World Service/Miami,1924 NW 84 Avenue,Doral,FL,33126,305-774-6770,-80.33243,25.794
Church World Service/West Palm Beach,"220 S Congress Park Drive, Suite 300",Delray Beach,FL,33445,561-266-0624,-80.0957,26.457542
College of Southern Idaho Refugee Programs,1526 Highland Ave. E,Twin Falls,ID,83301,208-736-2166,-114.45491,42.54497
Commonwealth Catholic Charities,820 Campbell Ave. SW,Roanoke,VA,24016,540-342-7561,-79.95598,37.270958
Commonwealth Catholic Charities,"1512 Willow Lawn Drive, Suite A",Richmond,VA,23230,804-545-6289,-77.50032,37.58068
Commonwealth Catholic Charities,12284 Warwick Blvd.,Newport News,VA,23606,757-247-3600,-76.4903687,37.0631543
Community Refugee And Immigration Services,"1925 E Dublin-Granville Rd, Suite 102",Columbus,OH,43229,614-235-5747,-82.9693952,40.0863851
Coptic Orthodox Charities,2312 Gulf-To-Bay Blvd,Clearwater,FL,33765,727-785-3551,-82.7414,27.960533
"Coptic Orthodox Charities, Inc.","9215 North Florida Avenue, Suite 101",Tampa,FL,33612,727-785-3551,-82.4594297,28.033721
CWS Jersey City,26 Journal Square Suite 600,Jersey City,NJ,7306,201.659.0468,-74.06418,40.73106
CWS Richmond,"3314 North Parham Road, Suite B",Richmond,VA,23294,804-658-5279,-77.53894,37.629253
CWS-Harrisonburg,"250 East Elizabeth Street, Suite 109",Harrisonburg,VA,22802,540-433-7942,-78.864716,38.449886
CWS-Lancaster,308 E. King St.,Lancaster,PA,17602,717-381-2890,-76.301009,40.0383441
Della Lamb Community Services,"500 Woodland Avenue,",Kansas City,MO,64106,816-842-8040,-94.562415,39.1086122
Diocese of East Carolina Interfaith Refugee Ministry,25 South Third St.,Wilmington,NC,28401,910-762-5115,-77.946014,34.235218
Diocese of East Carolina Interfaith Refugee Ministry,1233 Colony Drive,New Bern,NC,28562,252-633-9009,-77.091,35.12611
Diocese of Jefferson City,"201 W Broadway Street, Building #3, Suite G",Columbia,MO,65203,573-442-7568,-92.342826,38.9518566
Diocese of Olympia,1610 S. King St.,Seattle,WA,98144,206-323-3152,-122.311264,47.59833
Diocese of Winona Catholic Charities,903 W Center Street,Rochester,MN,55902,507-287-2047 x22,-92.4791798,44.0238311
Dorcas International Institute of Rhode Island,645 Elmwood Ave.,Providence,RI,2907,401-784-8638,-71.42451,41.794792
East African Community Of Orange County,"2323 W. Lincoln Ave., Suite 205",Anaheim,CA,92801,714-991-5258,-117.88371,33.839077
ECDC African Community Center,"4310 S. Cameron, Suite 5",Las Vegas,NV,89119,702-836-3324,-115.20401,36.11149
ECDC African Community Center,5250 Leetsdale Drive,Denver,CO,80246,303-399-4500,-104.92655,39.70803
ECDC African Community Center,8719 Colesville Rd,Silver Spring,MD,20910,301-562-8633 x304,-77.02683,38.997974
Episcopal Migration Ministries ,"700 S. Poinciana Blvd., Suite 803",Miami Springs,FL,33135,305-541-8327,-80.2692032,25.8106811
Episcopal Wichita Area Refugee Ministries,401 North Emporia St.,Wichita,KS,67202,316-977-9276,-97.335469,37.69179
Ethiopian Community Association of Chicago,1730 W. Greenleaf Ave.,Chicago,IL,60626,773-508-0303,-87.67349,42.01022
"Exodus Refugee Immigration, Inc.","1125 Brookside Ave, Suite C9",Indianapolis,IN,46202,317-921-0836,-86.13751,39.781322
FEGS Health & Human Svcs,315 Hudson St.,New York,NY,10013,212-366-8586,-74.007484,40.72633
Gulf Coast Jewish Family & Community Services,14041 Icot Blvd.,Clearwater,FL,33760,727-479-1858,-82.715515,27.899405
Heartland Alliance of Human Needs and Human Rights,4419 N. Ravenswood Ave.,Chicago,IL,60604,773-728-5960,-87.67398,41.96196
HIAS Pennsylvania,"2100 Arch Street, 3rd Floor",Philadelphia,PA,19103,215-832-0906,-75.1773838,39.9556152
Immigration and Refugee Services,4322 San Fernando Rd.,Glendale,CA,91204,818-409-0991,-118.26142,34.131508
Immigration And Refugee Services,1 Cathedral Square,Providence,RI,2903,401-421-7833 x129,-71.41534049,41.82088885
"Immigration and Refugee Services, Catholic Charities Archdiocese of New Orleans",2505 Maine Ave.,New Orleans / Metairie,LA,70003,504.457.3462,-90.23160279,30.00094939
Immigration And Resettlement Program,4311 Wilshire Blvd. ,Los Angeles,CA,90010,323-935-5303,-118.3218531,34.06178349
Integrated Refugee And Immigrant Services (IRIS),235 Nicoll St. 2nd Floor,New Haven,CT,6511,203-562-2095,-72.90825,41.320732
Interfaith Ministries for Greater Houston,3303 Main Street,Houston,TX,77002,,-95.37778966,29.74054792
Interfaith Ministries of Greater Houston,3217 Montrose Blvd,Houston,TX,77006,,-95.39124,29.74441
Interfaith Refugee & Immigration Ministry Of The Episcopal Diocese Of Los Angeles,3621 Brunswick Ave,Los Angeles,CA,90039,323-667-0489,-118.2607,34.119095
InterfaithWorks of Central New York,3049 East Genesee Street,Syracuse,NY,13224,315-474-1261,-76.09897464,43.04279747
International Institute of Akron,207 East Tallmadge Ave.,Akron,OH,44310,330-376-5106,-81.50765,41.102177
International Institute of Buffalo,864 Delaware Ave.,Buffalo,NY,14209,716-883-1900,-78.87149595,42.90756883
International Institute of Connecticut,670 Clinton Ave.,Bridgeport,CT,6605,203-336-0141,-73.21189,41.176414
International Institute of Erie,517 E. 26th St.,Erie,PA,16504,814-452-3935,-80.06215,42.116108
International Institute Of Los Angeles,3800 La Crescenta Ave.,Glendale,CA,91214,818-244-2550,-118.2399437,34.21151357
International Institute of Minnesota,1694 Como Ave.,St. Paul,MN,55108,651-647-0191,-93.17315,44.977276
International Institute of New England-Lowell,"144 Merrimack St., Suite 202",Lowell,MA,1852,978-459-9031,-71.310234,42.645695
International Institute of New Hampshire,315 Pine St.,Manchester,NH,3101,603-647-1500,-71.4593,42.988728
International Institute of Southwest Missouri,3046 S. Delaware,Springfield,MO,65804,417-720-1552,-93.26716957,37.15812939
International Institute of St. Louis,3401 Arsenal,St. Louis,MO,63118,314-773-9090,-90.23777,38.602142
International Institute of Wisconsin,1110 North Old Third St ,Milwaukee,WI,53203,412-225-6220,-88.01496044,43.02256046
International Rescue Committee,2130 Geer Road Suite C,Turlock,CA,95382,209-667-2378,-120.84888,37.512276
International Rescue Committee,"302 N. Fleming Street, Suite 8E",Garden City,KS,67846,620-805-5350,-100.854355,37.96513
International Rescue Committee,"124 Mariotte Drive, Suite 105",Tallahassee,FL,32301,850-391-9610,-84.26394,30.441244
International Services Center,815 Superior Ave. E.,Cleveland,OH,44114,216-781-4560,-81.68910382,41.50201163
IRC Abilene,"3303 North Third, Suite D",Abilene,TX,79603,,-99.76174,32.45304
IRC Atlanta,"2305 Parklake Drive, Suite 100",Atlanta,GA,30345,404-292-7731,-84.248924,33.854195
IRC Baltimore,3516 Eastern Avenue,Baltimore,MD,21224,410-327-1885,-76.567955,39.286602
IRC Boise,7188 W. Potomac Drive,Boise,ID,83702,208-344-1792,-116.271866,43.611412
IRC Charlottesville,609 East Market Street,Charlottesville,VA,22902,434-979-7772,-78.4772804,38.03041203
IRC Dallas,6500 Greenville Avenue,Dallas,TX,75206,,-96.76725949,32.86434699
IRC Elizabeth,"10 West Grand Street, Suite A",Elizabeth,NJ,7201,908.351.5116,-74.21576,40.666584
IRC Los Angeles,625 N Maryland Avenue,Glendale,CA,91206,818-550-6220,-118.25382,34.155006
IRC Miami,730 NW 107th Avenue,Miami,FL,33172,305-640-9881,-80.36969664,25.77608671
IRC New York,"263 West 38th Street, 6th Floor",New York,NY,10018,212-377-4728,-73.990524,40.75425
IRC Oakland,"405 14th Street, Suite 1415",Oakland,CA,94612,510-452-8222,-122.2702322,37.80390179
"IRC Phoenix, AZ","4425 W. Olive Ave., Suite 400",Phoenix,AZ,85302,602-433-2440,-112.1547403,33.56749752
IRC Sacramento,"2730 Arden Way, #227",Sacramento,CA,95825,916-482-0120,-121.39708,38.59591
IRC Salt Lake City,"221 East 400 South, Suite 50",Salt Lake City,UT,84110,801-328-1091,-111.8845548,40.76080545
IRC San Diego,"5348 University Avenue, Suite 205",San Diego,CA,92105,619-641-7510,-117.080475,32.74898
IRC San Jose,"1210 S. Bascom Avenue, #227",San Jose,CA,95128,408-453-3536,-121.93172,37.303707
IRC Seattle,"100 South King Street, Suite 570",Seattle,WA,98104,206-623-2105,-122.33412,47.598293
IRC Silver Spring,"8719 Colesville Road, 3rd Floor",Silver Spring,MD,20910,301-562-8633,-77.0259189,38.99862508
"IRC Tucson, AZ","2100 N. Kolb Rd, Suite 103",Tucson,AZ,85715,520-319-2128,-110.8485448,32.24690076
IRC Wichita,401 North Emporia St.,Wichita,KS,67202,316-351-5495,-97.3351389,37.6921089
IRSA Camba,2211 Church Avenue,Brooklyn,NY,11226,718-282-2500,-73.90596,40.636543
IRSA/ Youth Co-Op Inc.,3525 NW 7th Street,Miami,FL,33125,305-643-6730,-80.25344095,25.77907445
"Jannus, Inc.",1607 W Jefferson Street,Boise,ID,83702,208.336.5533,-116.2133918,43.6226045
Jewish Child And Family Services Of Chicago,3525 W Peterson Ave Suite 400,Chicago,IL,60659,773-467-3782,-87.7174,41.990276
Jewish Community Services,5750 Park Heights Avenue,Baltimore,MD,21215,443-451-2256,-76.68691127,39.35430505
Jewish Family & Children's Services Of East Bay,1855 Olympic Blvd. Suite 200,Walnut Creek,CA,94596,925-927-2000,-122.065056,37.89542
Jewish Family & Children's Services of Pittsburgh,5743 Bartlett Street,Pittsburgh,PA,15217,412-904-5976,-79.9242,40.435955
Jewish Family & Children's Services Of San Franciso,2534 Judah St.,San Francisco,CA,94122,415-449-1286,-122.489174,37.76117
Jewish Family Service of Buffalo & Erie County,70 Barker Street,Buffalo,NY,14209,716-883-1914 x339,-78.8689,42.906734
Jewish Family Service Of Greater Seattle,"1209 Central Avenue S, Suite 134",Kent,WA,98032,253-850-4065,-122.23009,47.370968
Jewish Family Service Of Metrowest,475 Franklin Street #101,Framingham,MA,1702,508-875-3100,-71.42864,42.28985
Jewish Family Service of San Diego,8804 Balboa Avenue,San Diego,CA,92123,858-637-3093,-117.138695,32.820335
Jewish Family Service of Silicon Valley,"14855 Oka Road, Suite 202",Los Gatos,CA,95032,408-357-7452,-121.96078,37.252754
Jewish Family Service Of Washtenaw County,2245 S. State Street,Ann Arbor,MI,48104,734-769-0209,-83.73963,42.254704
Jewish Family Service Of Western Massachusetts,15 Lenox Street,Springfield,MA,1108,413-737-2601,-72.5604545,42.085594
Jewish Vocational Service Of Metrowest,111 Prospect St.,East Orange,NJ,7017,973.674.6330,-74.214676,40.769737
Jewish Vocational Services,1608 Baltimore Avenue,Kansas City,MO,64108,816-471-2808,-94.58464,39.093758
"Journey's End Refugee Services, Inc.","2495 Main Street, Suite 317",Buffalo,NY,14214,716-218-0563,-78.84265342,42.93592097
JSSA Newcomer Resettlement,6123 Montrose Road,Rockville,MD,20852,301-881-3700,-77.1238,39.05267
Kentucky Refugee Ministries,969 B Cherokee Road,Louisville,KY,40204,502-479-9180,-85.72348,38.24165
Kentucky Refugee Ministries,1206 North Limestone,Lexington,KY,40505,859-226-5661,-84.47553,38.061493
LCFS of Eastern Pennsylvania,123 E. Vine St.,Lancaster,PA,17602,717-397-4757,-76.30243,40.036682
LCFS of Eastern Pennsylvania,1923 Hanover Street,Allentown,PA,18109,610-770-9205,-75.42654,40.6217
LCFS of Eastern Pennsylvania,5401 Rising Sun Ave,Philadelphia,PA,19120,215-456-5700,-75.1170273,40.03187168
LSS Northeast Florida,4615 Philips Highway,Jacksonville,FL,32207,904-730-8281,-81.62455,30.274925
Lutheran Community Services Northwest,"3600 Main Street, Suite #200",Vancouver,WA,98663,360-694-5624,-122.66818,45.64771
Lutheran Community Services Northwest,605 Southeast 39th Avenue,Portland,OR,97214,503.233.0042 x516,-122.623024,45.518497
Lutheran Community Services Northwest,223 N. Yakima Ave,Tacoma,WA,98403,253-272-8433,-122.452185,47.26357881
Lutheran Family Services - Lincoln,"2900 O Street, Suite 200",Lincoln,NE,68510,402-435-2910,-96.6791115,40.81352453
Lutheran Family Services in the Carolinas,1118 Union St.,Columbia,SC,29212,803-750-9917,-81.04768,34.022488
Lutheran Family Services in the Carolinas,616 Hutton Street,Raleigh,NC,27606,919-861-2812,-78.70189,35.790276
Lutheran Family Services Of Colorado,800 8th Avenue Suite 225,Greeley,CO,80631,970-336-2201,-104.69094,40.424866
Lutheran Family Services Rocky Mountains,"3612 Campus Blvd, NE",Albuquerque,NM,87106,505-933-7015,-106.60665,35.08124
Lutheran Family Services Rocky Mountains,"1600 Downing Street, Suite 600",Denver,CO,80218,303-980-5400,-104.97339,39.741783
Lutheran Family Services Rocky Mountains,132 E Las Animas,Colorado Springs,CO,80903,719-314-0223,-104.8225323,38.82307047
Lutheran Services Florida,427 N Magnolia Ave (2nd Floor),Orlando,FL,32801,407-675-3107,-81.378648,28.5486877
"Lutheran Services Florida, Inc.",3625 West Waters Avenue,Tampa,FL,33614,813-877-9303,-82.501595,28.025444
"Lutheran Services Florida, Inc.","8532 SW 8th Street, Suite 270",Miami,FL,33144,305-567-2511,-80.33463043,25.76188049
Lutheran Services in Nebraska,"1941 S 42nd Street, Suite 402",Omaha,NE,68105,402-536-3500,-95.97573,41.278484
Lutheran Services of Georgia,"100 Edgewood Ave, NE, Suite1800",Atlanta,GA,30303,404-875-0201,-84.3863,33.75449
Lutheran Social Services of Colorado,363 S Harlan St. Ste. 200,Lakewood,CO,80226,,-105.0627488,39.70979936
Lutheran Social Services of Michigan,"207 East Fulton, Fourth Floor",Battle Creek,MI,49017,616-356-5771,-85.66384097,42.96316445
Lutheran Social Services of Michigan,"2 West Michigan Avenue, Suite 300",Grand Rapids,MI,49503,616-356-5779,-85.18260038,42.31940387
Lutheran Social Services of Michigan,"2170 E. Big Beaver Road, Suite C",Troy,MI,48083,248-423-3023,-83.1066791,42.5629991
Lutheran Social Services Of Minnesota,22 Wilson Avenue Suite 110,St. Cloud,MN,56302,320-251-7700,-94.1536842,45.5661462
Lutheran Social Services Of Minnesota,2400 Park Avenue S,Minneapolis,MN,55404,612-879-5260,-93.26515932,44.95868494
Lutheran Social Services of National Capitol Area,7401 Leesburg Pike,Falls Church,VA,22043,703-698-5026,-77.200005,38.900745
Lutheran Social Services of National Capitol Area,"8719 Colesville Road, 3rd Floor",Silver Spring,MD,20910,410-982-3182,-77.0258438,38.99790801
Lutheran Social Services Of North Dakota- New Americans,1616 Capitol Way,Bismarck,ND,58501,701-223-1510,-100.768074,46.829945
Lutheran Social Services Of North Dakota- New Americans,412 Demers Ave.,Grand Forks,ND,58201,701-772-7577,-97.031715,47.92431
Lutheran Social Services Of North Dakota- New Americans,3911 20th Ave. S,Fargo,ND,58103,701-235-7341,-96.84661,46.848175
Lutheran Social Services of South Dakota,1000 18th Street SW,Huron,SD,57350,605-554-0460,-98.23125,44.34543
Lutheran Social Services of South Dakota,"114 S. Main Ave., Suite 100",Sioux Falls,SD,57104,605-731-2000,-96.7302441,43.5468854
Lutheran Social Services of the Southwest,"120 N. Stone Ave., Suite 220R",Tucson,AZ,85701,520-748-2300,-110.971436,32.223217
Lutheran Social Services of WI and Upper MI,5300 West Lincoln Avenue,Milwaukee,WI,53219,414-325-3117,-87.97929381,43.00292952
Lutheran Social Services Of Wisconsin And Upper Michigan,322 E. Washington Ave,Madison,WI,53703,608-250-2671,-89.3830806,43.0774983
"Migrant and Refugee Services, Catholic Charities",6033 W. Lloyd Street,Milwaukee,WI,53213,414-771-2881,-87.988266,43.056934
"Migrant and Refugee Services, Catholic Charities",503 Wisconsin Ave.,Sheboygan,WI,53081,920-458-5726,-87.70802,43.75267
Migration & Refugee Services,1276 University Ave. West,St. Paul,MN,55104,651-647-3117,-93.15387,44.95558747
Migration & Refugee Services,1408 Carmel Drive,Lafayette,LA,70501,337-261-5535,-91.9885446,30.2315609
Migration & Refugee Services,1116 Kanawha Blvd. East,Charleston,WV,25301,304-343-1036,-81.63326923,38.34498619
Migration And Refugee Center,425 B Division Street,Biloxi,MS,39530,228.374.6588,-88.87424,30.40321
"Migration and Refugee Services, Catholic Charities",1900 S. Acadian Thruway,Baton Rouge,LA,70808,225-242-0337,-91.15273,30.43097
"Migration and Refugee Services, Catholic Social Services, Inc.","2305 Parklake Drive, Suite 150",Atlanta,GA,30345,678-222-3950,-84.251103,33.8539516
Minnesota Council of Churches,122 W Franklin Ave,Minneapolis,MN,55404,612-230-3216,-93.2804325,44.96271048
MRS - Catholic Social Service,"140 W Speedway Blvd., Suite 130",Tucson,AZ,85705,520-623-0344 x1012,-110.969345,32.23588
Nashville International Center for Empowerment,3221 Nolensville Pike,Nashville,TN,37211,615-315-9681,-86.7405896,36.10176175
Nationalities Service Center,1216 Arch St,Philadelphia,PA,19107,215-893-8400,-75.16026494,39.95403162
North Carolina African Services Coalition,"122 N. Elm St., Suite 500",Greensboro,NC,27401,336-574-2677,-79.792001,36.073274
Northern Area Companies,209 Thirteenth St.,Pittsburgh,PA,15215,412-781-1175,-79.929565,40.495533
Northside CYO/Catholic Charities,527 N. Salina Street,Syracuse,NY,13208,315-474-7428,-76.15204,43.05814
"Opening Doors, Inc.","1111 Howe Avenue, Suite 125",Sacramento,CA,95825,916-492-2591,-121.41533,38.5856
Pacific Gateway Center,723C Umi St.,Honolulu,HI,96819,808-851-7010,-157.88254,21.33385
PARS Equality Center,1635 The Alameda,San Jose,CA,95126,408.261.6400,-121.91752,37.336132
Refguee And Immigrant Assistance Center,340 Main Street Suite 802,Worcester,MA,1610,508-756-7557,-71.801315,42.265537
Refugee & Empowerment Services,9451 LBJ Freeway,Dallas,TX,75243,,-96.73325162,32.91065611
Refugee & Immigrant Assistance Center,31 Heath Street,Jamaica Plain,MA,2130,617-238-2430,-71.09966,42.325386
Refugee and Immigration Services,10 South 6th Street,Nashville,TN,37206,615-760-2777,-86.76297953,36.17283126
Refugee Assistance Program,1511 N. Las Vegas Blvd,Las Vegas,NV,89101,702-383-8387,-115.16125,36.188454
Refugee Assistance Program/Catholic Charities,20 Herkimer Street,Buffalo,NY,14213,716-842-0270,-78.89348,42.91314
Refugee Focus ,3443 North Central Ave,Phoenix,AZ,85012,602-248-4400,-112.0736596,33.48816999
Refugee Focus ,"120 N. Stone Ave., Suite 220R",Tucson,AZ,85701,520-721-4444,-110.9720394,32.223493
"Refugee Microenterprise Development, Diocese of Camden",1845 Haddon Avenue,Camden,NJ,8103,856.342.4167,-75.08826,39.92276
Refugee One,4753 North Broadway,Chicago,IL,60640,773-989-5647,-87.65954296,41.96866874
Refugee Resettlement & Immigration Services of Atlanta,"4151 Memorial Dr., Suite 205 D",Decatur,GA,30032,404-622-2235 x235,-84.25093,33.76939
"Refugee Resettlement Program/Catholic Charities, Diocese of Brooklyn","191 Joralemon Street, 4th Floor",Brooklyn,NY,11201,718-722-6009,-73.991611,40.6923227
"Refugee Services of Texas, Inc",1731 South Avondale Street,Amarillo,TX,79108,,-101.89332,35.195816
"Refugee Services of Texas, Inc",1500 Circle Drive,Fort Worth,TX,76119,,-97.30386,32.6726
"Refugee Services of Texas, Inc","12025 Shiloh Road, Suite 240",Dallas,TX,75228,,-96.66585,32.860165
"Refugee Services of Texas, Inc",6065 Hillcroft St.,Houston,TX,77081,,-95.4973611,29.71535105
"Refugee Services of Texas, Inc. ",1731 South Avondale,Austin,TX,78752,,-101.8932764,35.19618411
